Words,anger,disgust,fear,joy,sad,surprise
europe retain trophy with big win,0,0,0,0.8721,0,0.1279
senate votes to revoke pensions,0.1625,0,0.225,0,0.4375,0.175
the amounts you have to pay for a bomb scare,0.1056,0.169,0.5282,0,0.1549,0.0423
pair of satellites will document sun in d,0,0,0,0.5733,0,0.4267
malaysian airasia x to fly in july,0,0,0,0.7358,0,0.2642
dow hits new record eyes,0,0,0,1,0,0
bathing mom awakes to find baby dead,0.0116,0,0.185,0,0.5376,0.2659
we re a pretty kind bully,0,0,0,1,0,0
women in their s are perfectly good mothers,0.1557,0.1557,0.1885,0.1967,0.2131,0.0902
hands on doomsday clock move forward,0.1176,0.0686,0.3529,0.1667,0.1961,0.098
italy to hold no show trial of bronx gi in iraq slay,0.2276,0.1707,0.2033,0.1382,0.1382,0.122
what the godfather of soul meant to me,0,0,0,0.625,0.375,0
snow begins heavy accumulations expected,0.0308,0,0.5692,0.0615,0.1692,0.1692
millionaire secret santa dies,0,0,0,0.022,0.8242,0.1538
martian life could have evaded detection by viking landers,0.1176,0,0.0588,0,0.1176,0.7059
gunman was srebrenica survivor,0.0519,0,0.2468,0.0909,0.2208,0.3896
world tourism sets record in,0,0,0,0.7237,0,0.2763
earthlink ceo dies at age,0,0,0.1102,0,0.7458,0.1441
goal delight for sheva,0,0,0,0.7099,0,0.2901
late penalty costs roma the points,0.0417,0,0.1458,0,0.5625,0.25
house of cards actor ian richardson dead,0,0,0.0737,0,0.8526,0.0737
even before its release world climate report is criticized as too optimistic,0.2435,0.1478,0.287,0,0.1913,0.1304
mln birds to be vaccinated from bird flu near moscow,0,0,0.19,0.42,0.05,0.34
speaker hastert testifies before panel probing sex scandal,0.2195,0.439,0,0,0.3415,0
we lit our last candle yesterday,0.0455,0,0.2273,0,0.7273,0
putin vows to tackle illegal immigration,0.3333,0.2333,0,0,0.3333,0.1
mideast summit edns with little progress,0.1081,0.1081,0.1216,0.1622,0.4865,0.0135
deadly bird flu confirmed in british turkeys,0.015,0.0075,0.5263,0,0.2707,0.1805
an iphone by any other name surely not,0,0.0612,0,0.2653,0,0.6735
will north korea honor pledge this time,0,0.1163,0.2791,0.3256,0.0233,0.2558
nasdaq lse battle nears deadline,0,0,0.5532,0.1702,0,0.2766
combative bush releases parts of terror study,0.281,0.1405,0.405,0,0,0.1736
iraq car bombings kill people wound more than,0.124,0.1047,0.3256,0,0.3682,0.0775
comedian says government silences critics,0.0769,0.2115,0.1154,0.1346,0.25,0.2115
pamuk wins nobel literature prize,0,0,0,0.899,0,0.101
bill gates and craig mundie vista is secure employees are not,0.1667,0,0.1875,0,0.1875,0.4583
psp number one sony platform in japan,0,0,0,0.6809,0,0.3191
at new ozzfest freedom ain t free,0.2683,0,0.122,0.1463,0.0244,0.439
ecb holds rates at percent,0,0,0,0.7826,0,0.2174
princess and heir of franz ferdinand fights to repeal a law and gain a castle,0.3333,0.0303,0.0808,0.3939,0,0.1616
eu will urge china to go green,0.129,0,0.0806,0.5484,0.0484,0.1935
new indonesia calamity a mud bath is man made,0.2727,0.2172,0.2172,0,0.2172,0.0758
tom cruise and katie holmes set wedding date,0,0,0,0.7671,0,0.2329
hatton hands back ibf title again,0.0426,0.1064,0,0.3617,0.3404,0.1489
secret hotels in irish countryside,0,0,0.0417,0.0625,0,0.8958
officers had rapport with alleged abductor,0.2574,0.3015,0.1176,0,0.1691,0.1544
iran and nicaraguan leaders meet,0.0455,0.0303,0.2576,0.3333,0.1515,0.1818
yankee dies in plane crash official says,0,0,0.0882,0,0.9118,0
mickelson sutherland share lead,0,0,0,0.8605,0,0.1395
apple drops bombshell with iphone,0,0,0.0753,0.3978,0.1183,0.4086
iran to strike us interests if attacked,0.322,0.0593,0.3983,0,0.1864,0.0339
dr mcdreamy choked in grey s scuffle,0,0,0.2581,0,0.5269,0.2151
gunmen abduct filipino woman in nigeria,0.186,0.0872,0.3372,0,0.2965,0.093
escape to prague without the summer hordes,0,0,0,0.5862,0,0.4138
confusion reigns in the expanding digital world,0.1579,0,0,0,0,0.8421
alaska s northern lights captivate japanese,0,0,0,0.65,0,0.35
riot warning for france suburbs,0.2857,0.1677,0.1925,0,0.3292,0.0248
hussein s niece pleads for father s life,0.1513,0.1597,0.1429,0,0.4454,0.1008
nadal wants australian open crown,0,0,0,1,0,0
blog here come the globes,0,0,0,0.8167,0,0.1833
dispute over iraqi cleric said to have gone to iran,0.3494,0.0241,0.3373,0,0.0241,0.2651
thai govt moves to smooth over relations with south,0,0,0.0323,0.6935,0.0323,0.2419
rwanda mulls three child limit,0,0,0.0411,0.3288,0.1918,0.4384
beware of peanut butter pathogens,0,0,0.4868,0.0789,0.2237,0.2105
celebrities protest malibu gas facility,0.3165,0,0,0.3418,0.3418,0
freed muslim terror suspect says britain is police state,0.1532,0.1892,0.5495,0,0.1081,0
happy birthday ipod,0,0,0,0.9595,0,0.0405
advantage cardinals with suppan in game,0,0,0,1,0,0
vegetables may boost brain power in older adults,0,0,0.0926,0.4444,0,0.463
matt shines with his alpine finish,0,0,0,0.96,0,0.04
japan s economy grows,0,0,0,0.8052,0,0.1948
believing scripture but playing by science s rules,0,0,0,0.2353,0,0.7647
pig cells hope for diabetes cure,0,0,0.0385,0.4487,0.0256,0.4872
vaccines mandate or choice,0,0,0.3846,0.0769,0.0769,0.4615
tbs to pay m fine for ad campaign bomb scare,0.1359,0.1739,0.2446,0.0598,0.1522,0.2337
bombings say muslim rebels won t negotiate,0.3137,0.098,0.3203,0,0.1699,0.098
u s diverts troops to fight taliban,0.2727,0,0.2545,0.1364,0.1818,0.1545
livingstone s transport empire may extend,0,0,0.1636,0.6727,0,0.1636
time to book your cruise,0,0,0,0.7031,0,0.2969
us helicopter crash kills troops in afghanistan,0.0968,0.0968,0.2065,0,0.5871,0.0129
at least die as blast levels baghdad market,0.1106,0.0783,0.318,0,0.4147,0.0783
cartoon network head steps down,0,0,0.1477,0.0455,0.4886,0.3182
russia condemns terrorist acts on buses outside beirut,0.2327,0.0881,0.2704,0.0818,0.2956,0.0314
ice storms kill across nation,0.0468,0,0.3158,0,0.5439,0.0936
paula abdul i have never been drunk,0.0278,0.1111,0,0.1667,0.0278,0.6667
bookworm adventures wordsmith s joy,0,0,0,0.9383,0,0.0617
new cancer drug to save a thousand lives a year,0.025,0,0.0417,0.5417,0.0417,0.35
park stars as united maintain lead,0,0,0,0.8269,0,0.1731
edwards blogger quits becomes journalistic martyr,0,0,0.1458,0.0833,0.3542,0.4167
families celebrate return of sons,0,0,0.0189,0.7925,0.0566,0.1321
no intention of war with iran us says,0.0741,0.0556,0.1667,0.5556,0.0185,0.1296
video games can improve your vision,0,0,0.0106,0.4468,0,0.5426
mickelson driving force at masters,0,0,0,0.7568,0,0.2432
anti u s attack videos spread on the internet,0.2864,0.2045,0.2636,0,0.2455,0
cisco sues apple over iphone name,0.5,0.0833,0.1042,0,0.1146,0.1979
beckham posh and more athlete celebrity couples,0,0,0,1,0,0
roots of autism more complex than thought,0,0,0.1744,0.0116,0.2907,0.5233
annual diving contest in south korea proves a chilly challenge,0,0,0.3448,0.069,0,0.5862
spanish journalist seized in gaza,0.244,0.204,0.26,0,0.208,0.084
microsoft sony we have a problem,0,0,0.1132,0,0.3962,0.4906
us soldiers die in day of violence,0.1963,0.0859,0.1718,0,0.546,0
u s gunman was srebrenica survivor,0.0805,0.1034,0.1609,0.1379,0.2069,0.3103
germany agonizes over a brain drain,0.1139,0,0.2152,0,0.6456,0.0253
marathon winner released from hospital,0,0,0.039,0.8182,0.0909,0.0519
gronholm takes a commanding lead,0,0,0,0.8605,0,0.1395
surprise china cuts price of gas,0,0,0.0495,0.5347,0,0.4158
why the smell of a man s armpit is a turn on,0,0.3131,0,0.1616,0,0.5253
sexualisation harms young girls,0.3067,0.2133,0.1467,0,0.2533,0.08
antibiotic ketek more dangerous than thought,0.0769,0,0.4786,0,0.0684,0.3761
south african trio share advantage,0,0,0,0.8298,0,0.1702
alaska town cut off from rest of state by flood,0.0294,0,0.549,0,0.4216,0
panel issues bleak report on climate change,0.1563,0.1172,0.375,0,0.3516,0
abbas condemns israeli massacre in northern gaza strip,0.2642,0.2792,0.2642,0,0.1925,0
questions on credit card safety,0.0909,0,0.4545,0,0.4545,0
bigger more aggressive rats infesting uk,0.0305,0.4122,0.4275,0,0.0687,0.0611
philippine president welcomes senate approval of anti terror bill,0.0274,0,0.137,0.7397,0.0548,0.0411
earthlink ceo dies at age,0,0,0.1071,0,0.6214,0.2714
action games improve eyesight,0,0,0,0.4125,0,0.5875
desperate iraqi mother relies on militia for help,0.1111,0.0238,0.1667,0,0.5317,0.1667
foreign minister of colombia quits in scandal,0.0609,0.2174,0.1217,0.2174,0.1826,0.2
get ready for the earnings,0,0,0,1,0,0
europe take big royal trophy lead,0,0,0,0.8209,0,0.1791
clijsters looks for a long goodbye,0,0,0.0984,0.0656,0.541,0.2951
bebe neuwirth gets to wiggle again,0.0694,0,0,0.5972,0,0.3333
kylie s love split,0.0411,0,0.0822,0.0685,0.7671,0.0411
bridge blast stops i traffic,0.0636,0,0.4636,0,0.2545,0.2182
passing exchange becomes political flashpoint,0.3636,0,0.3636,0,0.2727,0
rocky start for bangkok airport,0,0,0.1311,0.3115,0.2295,0.3279
nfl team s fan of the year flag lady,0,0,0,0.7042,0,0.2958
super bowl mvp manning insists he s one of the guys,0,0,0,0.6,0,0.4
oregon snorkeler mistaken for rodent shot in face,0.062,0,0.1705,0,0.5659,0.2016
turkmen acting leader sworn in as new president,0,0,0,0.7174,0,0.2826
dolphins sea lions may report for duty soon,0,0,0.0208,0.6875,0.0417,0.25
police warn of child exploitation online,0.2488,0.3062,0.2392,0,0.2057,0
floods force malaysia evacuations,0.0303,0.0061,0.4667,0,0.4788,0.0182
kidnapped ap photographer freed in gaza,0.1333,0.1244,0.2222,0.2178,0.1378,0.1644
navarrette minutemen have a right to be idiotic,0.1111,0,0,0.2222,0.4815,0.1852
vaccine mandate upsets legislators,0.2787,0.1311,0.1803,0.2131,0.1148,0.082
sex torture claims hit russia army,0.1712,0.3082,0.1438,0,0.2397,0.137
man beheaded in southern thailand,0.0234,0.1345,0.2749,0,0.5146,0.0526
de villiers stretches overall lead,0,0,0,0.8261,0,0.1739
airbus a superjumbo takes off,0,0,0,0.7468,0.038,0.2152
for women nothing s like the smell of men s sweat,0,0.1882,0,0.1529,0,0.6588
tariq ramadan has an identity issue,0,0,0.0556,0,0.0556,0.8889
study men s sweat triggers high sexual arousal in women,0,0.0241,0,0.0964,0,0.8795
blair terror battle will be long,0.1864,0,0.5254,0,0.2881,0
fingers crossed for north korea,0.0294,0.0294,0.2353,0.3824,0.1765,0.1471
warner will not run in,0,0,0,0,0.9167,0.0833
blake defeats moya to retain title,0.1,0,0,0.825,0.025,0.05
nicole kidman asks dad to help stop husband s drinking,0.1795,0,0.2564,0,0.359,0.2051
bush it s time for congress to back energy plan,0.1014,0.1594,0.2174,0.3043,0.1884,0.029
fuel spill may lead to missing jet,0.0385,0,0.4519,0.0673,0.3269,0.1154
paterson boots scotland to victory,0,0,0,0.8657,0,0.1343
here come the globes,0,0,0,0.7867,0,0.2133
shareholders sue apple,0.6282,0,0,0,0.1795,0.1923
bellsouth says profit rises on cingular earnings,0,0,0,0.7917,0,0.2083
lies damned lies and divorce,0.3007,0.2797,0.0699,0,0.3497,0
judge dismisses karr s porn case,0.2143,0.2143,0,0.1071,0,0.4643
male sweat can raise hormones,0,0.0909,0,0.1039,0,0.8052
founder returns to dell helm,0,0,0,0.623,0,0.377
anger at release of two held over beheading plot,0.4828,0.1724,0.1241,0,0.1517,0.069
move to ban ipods from crossing the street,0.2787,0,0,0.2131,0.1803,0.3279
did nasa accidentally kill life on mars,0.1438,0.1111,0.0915,0,0.2484,0.4052
briefly preloaded ipods wal mart movies apple stores,0,0,0,0.8182,0,0.1818
peter jackson will never work for me again,0.38,0.22,0,0,0.31,0.09
china considers eurobond reserves,0,0,0.14,0.6,0,0.26
student starts white men s club on campus,0.0693,0.2871,0.1287,0,0.3267,0.1881
depp to make litvinenko movie,0,0.0213,0.0638,0.766,0.0213,0.1277
probe under way in yankee crash,0.0253,0,0.1772,0.1013,0.6962,0
tom cruise and katie holmes set wedding date,0,0,0,0.8571,0,0.1429
toddler died from tainted spinach,0.2646,0.1166,0.1211,0,0.3991,0.0987
technology may save india s river dolphins,0,0,0.0485,0.6408,0.1165,0.1942
roddick overcomes federer in final,0,0,0,0.5577,0,0.4423
sarkozy letter surprises french cartoons hearing,0,0,0,0,0,1
dem leader s million land deal under scrutiny,0.2727,0.1818,0,0.1091,0.2364,0.2
barack obama formally announces bid for president,0,0.0541,0,0.5676,0.2703,0.1081
cutting edge accessories for digital music players,0,0,0,0.6852,0,0.3148
swiss plane crashes at moscow airport,0.0511,0,0.2263,0,0.5985,0.1241
federer handed tough aussie draw,0,0,0,0.25,0.5,0.25
two muslim groups sue french newspaper international,0.3419,0.0684,0,0.0598,0.2222,0.3077
sony apologises for global battery recall,0.1714,0,0,0,0.8286,0
merkel stop iran,0.2525,0,0.5051,0,0.1212,0.1212
peter pan flies into chapter two,0,0,0,0.4902,0,0.5098
bush officials no big move in iraq plan,0.2632,0.1711,0.3158,0,0.25,0
taliban leader killed in airstrike,0.0248,0,0.1818,0.2397,0.438,0.1157
amazon com has best ever sales,0,0,0,0.82,0,0.18
iran s president urges higher birth rate,0,0.0625,0,0.125,0,0.8125
dryer blamed for fire killing cats dogs,0.0813,0.0244,0.0894,0,0.6016,0.2033
hannibal bites the big one,0,0.0417,0.2708,0.1042,0,0.5833
woman fights to keep drunken driver in jail,0.3971,0.1103,0.125,0.1838,0.0441,0.1397
no evidence of ice reserves on the moon,0,0,0,0,0.6154,0.3846
now it s official iraq s a mess,0.157,0.2267,0.1337,0.0116,0.3605,0.1105
teen hacks venezuelan government web sites,0.2755,0,0.1429,0,0.1327,0.449
us millions fail to buy influence in deadly gaza power play,0.1488,0.1488,0.1901,0.0496,0.3554,0.1074
new mars orbiter spots pathfinder landing site,0,0,0,0.7273,0,0.2727
two hussein allies are hanged iraqi official says,0.1967,0.2131,0.1311,0.1066,0.3115,0.041
japan whaling activists terrorists,0.2397,0.1818,0.3554,0.0992,0.0826,0.0413
cravings still there sez tara,0,0,0,0.5667,0.2667,0.1667
microsoft downplays vista speech recognition hack,0.0732,0,0.1707,0.4146,0.2683,0.0732
terror network,0.0796,0,0.7699,0,0.1504,0
women face greatest threat of violence at home study finds,0.2082,0.2531,0.2327,0,0.2367,0.0694
after iraq trip clinton proposes war limits,0.0748,0,0.0748,0.4953,0.1215,0.2336
donald and goydos share sony lead,0,0,0,0.8649,0,0.1351
bp ceo browne to step down in june,0.0909,0.0455,0,0.197,0.5606,0.1061
iran steps up production of weapons grade uranium,0.1677,0.0599,0.4731,0,0.1617,0.1377
foetal mechanism helps heart failure,0,0,0.2222,0.2424,0.1515,0.3838
pluto s revenge word of the year award,0.0625,0.0156,0.0469,0.7656,0.0469,0.0625
tell your boss naps are good for you,0,0,0,0.5263,0,0.4737
subway collapse caught on camera,0,0,0.384,0,0.432,0.184
dead in apartment building fire,0.0881,0.0126,0.2956,0,0.5409,0.0629
